word,freq
adresowany,1
adresowanym,1
adresowe,3
adresowej,2
adresowych,4
adresowymi,1
adresową,2
adresu,128
adresy,72
adresów,24
adventisten,1
advogado,1
adwentystyczne,1
adwentystycznego,2
adwentystycznej,5
adwentystyczny,1
adwentystycznych,2
adwentystycznym,1
adwentystycznymi,1
adwentystów,15
adwokaccy,3
adwokaci,17
adwokacie,1
adwokacka,23
adwokacki,9
adwokackich,26
adwokackie,9
adwokackiego,10
adwokackiej,49
adwokackiemu,1
adwokackim,5
adwokackimi,1
adwokacką,10
adwokat,44
adwokata,105
adwokatami,3
adwokatem,11
adwokatom,3
adwokatowi,10
adwokatury,8
adwokaturze,25
adwokatów,54
aegroti,1
aerodynamicznej,1
aerologicznych,1
aerotermalnej,1
aerotermalną,2
aerozoli,1
aethina,1
aetr,9
affairs,1
afganistanie,1
afgańskiego,1
afiliowały,1
afisz,1
afisze,1
afiszem,1
aflatoksynę,1
afo,2
african,4
afrykański,4
agalactia,1
agape,2
agar,2
agaricus,3
agave,5
agenci,1
agencja,258
agencjach,4
agencjami,3
agencje,21
agencji,1199
agencjom,3
agencją,60
agencję,179
agencyjna,8
agencyjne,2
agencyjnej,59
agencyjnych,4
agencyjnymi,1
agencyjną,21
agent,52
agenta,62
agentem,6
agentom,1
agentowi,13
agentów,26
agitacja,1
agitacji,12
agitację,3
agitować,1
aglomeracja,2
aglomeracjach,1
aglomeracjami,2
aglomeracje,2
aglomeracji,14
aglomeracją,3
aglomerowany,2
aglomerowni,5
agonistycznym,9
agrarnej,3
agrarwirtschaft,1
agregację,1
agregatach,1
agregatów,4
agregowane,1
agregujących,1
agresji,4
agrestowych,2
agresywna,1
agresywnie,1
agresywności,1
agresywnością,2
agresywną,1
agricoltura,1
agricultura,2
agriculture,1
agro,1
agrochemiczna,1
agrochemicznej,2
agrochemicznych,1
agrochemiczną,2
agrolotniczy,1
agrolotniczym,2
agromelioracji,1
agrometeorologicznych,3
agrotechniczne,1
agrotechnicznego,1
agrotechnicznych,5
agrotechnicznym,1
agrotechniki,1
aids,3
aje,1
ają,1
akademia,30
akademiami,1
akademiccy,4
akademicka,1
akademicki,18
akademickich,19
akademickie,2
akademickiego,14
akademickiej,5
akademickiemu,4
akademickim,5
akademickimi,6
akademie,2
akademii,191
akademią,11
akademię,14
akapicie,1
akapit,4
akceleratorów,2
akceptacja,4
akceptacji,28
akceptację,14
akceptanta,1
akceptowalne,1
akceptowalny,3
akceptowana,2
akceptowane,6
akceptowanie,2
akceptowanych,1
akceptuje,1
akcesji,2
akcesoria,5
akcesoriów,6
akcesyjnego,2
akcesyjny,1
akcie,47
akcja,6
akcjach,52
akcjami,34
akcje,424
akcji,1215
akcjom,3
akcjonariusz,47
akcjonariusza,65
akcjonariuszach,3
akcjonariuszami,30
akcjonariusze,45
akcjonariuszem,36
akcjonariuszom,45
akcjonariuszowi,24
akcjonariuszy,165
akcją,22
akcję,7
akcpetację,1
akcyjna,88
akcyjne,29
akcyjnego,65
akcyjnej,138
akcyjnemu,2
akcyjny,22
akcyjnych,43
akcyjnym,18
akcyjnymi,4
akcyjną,36
akcyza,27
akcyzie,10
akcyzowe,146
akcyzowego,128
akcyzowemu,3
akcyzowy,49
akcyzowych,481
akcyzowym,90
akcyzowymi,17
akcyzy,755
akcyzą,58
akcyzę,17
akordeony,1
akordowej,3
akredytacja,7
akredytacji,189
akredytacją,11
akredytację,42
akredytacyjna,3
akredytacyjne,3
akredytacyjnego,4
akredytacyjnej,8
akredytacyjny,4
akredytacyjnych,5
akredytacyjną,4
akredytowana,3
akredytowane,19
akredytowanego,10
akredytowanej,3
akredytowanemu,1
akredytowania,1
akredytowanie,6
akredytowanych,14
akredytowanym,9
akredytowanymi,2
akredytowaną,8
akredytująca,1
akredytującej,2
akredytującymi,1
akredytującą,2
akredytyw,2
akredytywy,3
akrobacyjnych,3
akrotiri,1
akrylowe,1
akrylowy,1
akrylowych,10
akt,432
akta,139
aktach,90
aktami,61
aktem,24
aktom,7
aktorskiej,3
aktorów,1
aktowi,1
aktu,311
aktualizacja,43
aktualizacjach,1
aktualizacji,174
aktualizacją,4
aktualizację,15
aktualizacyjne,3
aktualizacyjnego,8
aktualizacyjnych,4
aktualizowane,7
aktualizowanej,2
aktualizowania,14
aktualizowanie,2
aktualizowaniem,3
aktualizowaniu,3
aktualizowany,9
aktualizowanym,1
aktualizowaną,2
aktualizować,5
aktualizuje,28
aktualizują,1
aktualizując,4
aktualizujące,14
aktualizującego,6
aktualizujących,19
aktualizującymi,2
aktualne,61
aktualnego,43
aktualnej,19
aktualnemu,2
aktualnie,14
aktualności,5
aktualność,2
aktualny,46
aktualnych,18
aktualnym,22
aktualnymi,1
aktualną,15
aktuarialnych,1
aktuariusz,1
aktuariusza,18
aktuariuszem,1
aktuariuszy,11
aktw,6
akty,119
aktywa,139
aktywach,26
aktywami,14
aktywizacja,2
aktywizacji,25
aktywizacją,1
aktywizację,2
aktywizacyjnej,1
aktywizacyjnych,2
aktywizuje,1
aktywizują,1
aktywizujące,1
aktywna,1
aktywne,2
aktywnego,3
aktywnej,2
aktywnemu,1
aktywnie,3
aktywności,31
aktywnością,4
aktywność,4
aktywny,2
aktywnych,1
aktywnym,2
aktywną,2
aktywowane,1
aktywowanych,2
aktywów,484
aktów,282
akumulacji,1
akumulacyjnych,1
akumulator,2
akumulatora,14
akumulatorach,2
akumulatorowe,9
akumulatory,17
akumulatorze,2
akumulatorów,30
akumulowania,1
akustyczne,6
akustycznego,7
akustycznej,5
akustycznie,1
akustyczny,2
akustycznych,7
akustycznym,1
akustyczną,6
akwakultury,4
akwariowych,4
akwarium,3
akwariów,1
akwen,1
akwenach,5
akwenami,1
akwenie,2
akwenu,1
akweny,4
akwenów,7
akwizycji,12
akwizycyjna,2
akwizycyjne,3
akwizycyjnej,3
akwizycyjnych,6
akwizycyjną,2
alabastry,1
alarmowania,8
alarmowanie,2
alarmowe,4
alarmowego,6
alarmowej,1
alarmowy,3
alarmowych,13
alarmową,1
albo,8708
albumina,2
albuminy,1
albumy,1
albumów,1
aldehyd,1
aldehydem,2
aldehydu,1
aldehydów,1
ale,131
aleksander,1
aleksandra,2
aleksandrowski,2
aleksandrów,1
alergen,2
alergeny,1
alergizujący,1
aleucka,1
aleution,1
alfa,2
alfaacetylometadol,1
alfabecie,1
alfabetu,1
alfabetycznej,6
alfabetycznym,5
alfameprodyna,1
alfametadol,1
alfaprodyna,1
alfentanyl,1
algebraiczną,1
algorytm,13
algorytmem,1
algorytmie,1
algorytmu,12
algorytmów,1
alianckich,1
alifatyczne,5
alifatycznych,1
alilu,1
alimentacji,2
alimentacyjne,17
alimentacyjnego,36
alimentacyjny,7
alimentacyjnych,37
alimentacyjnym,13
alimentacyjnymi,2
alimenty,15
alimentów,44
alkaliczne,1
alkalicznych,2
alkaloidów,1
alkilobenzeny,1
alkilonaftaleny,1
alkohol,40
alkoholami,1
alkohole,1
alkoholem,2
alkoholi,3
alkoholizmowi,28
alkoholizmu,1
alkoholomierza,1
alkoholowa,1
alkoholowe,30
alkoholowego,5
alkoholowej,18
alkoholowy,1
alkoholowych,152
alkoholowym,5
alkoholowymi,26
alkoholową,1
alkoholu,247
alków,2
allilo,1
alliloprodyna,1
allogeniczne,1
allogenicznego,1
aln,1
alnego,1
alność,1
alny,12
alokacja,1
alokacji,7
alokację,1
alokowanej,1
alpinizmu,1
altan,1
altanek,1
alternatywne,6
alternatywnego,12
alternatywnie,2
alternatywny,8
alternatywnych,13
alternatywnym,1
alternatywnymi,6
alternatywną,2
aluminiowa,2
aluminiowe,1
aluminium,3
alumnami,1
alumni,2
alumnom,1
alumnów,2
am,2
amaryllidaceae,2
amatora,3
amatorski,5
amatorskiego,18
amatorskiej,2
amatorskim,2
amatorsko,1
amazonek,2
ambasador,5
ambasadora,7
ambasadorem,1
ambasadorowi,2
ambasadorowie,1
ambasadorze,1
ambasadorów,2
ambulans,1
ambulansów,4
ambulatorium,7
ambulatoryjne,10
ambulatoryjnej,6
ambulatoryjnemu,1
ambulatoryjnych,7
ambulatoryjnym,1
american,2
amerykański,2
ameryki,6
amfibolity,1
ami,5
amid,2
amido,1
amidow,2
amidowego,22
amidowej,1
amidowy,28
aminadodatek,1
amino,2
aminobutylo,1
aminofenetylo,1
aminokwasy,1
aminokwasów,5
aminopropiofenon,1
aminy,2
amnestii,13
amnestię,1
amo,4
amoniaku,1
amono,1
amonow,12
amonoweg,1
amonowego,21
amonowej,1
amonowo,1
amonowy,37
amonowym,1
amonu,58
amortyzacja,10
amortyzacji,98
amortyzacją,1
amortyzację,6
amortyzacyjna,2
amortyzacyjne,61
amortyzacyjnego,12
amortyzacyjnej,8
amortyzacyjnych,266
amortyzacyjnym,4
amortyzacyjnymi,4
amortyzacyjną,3
amortyzowanego,4
amortyzowania,3
amortyzowaniu,1
amortyzowanych,2
ampułek,1
ampułkach,1
ampułkami,2
amunicja,10
amunicji,65
amunicją,46
amunicję,12
an,2
ana,1
anaboliczne,2
anabolicznych,1
anaemia,2
analityczne,9
analitycznego,5
analitycznej,6
analityczny,1
analitycznych,9
analityki,3
analityków,1
analityką,2
analiz,159
analiza,26
analizach,1
analizami,1
analizie,13
analizom,1
analizowane,1
analizowanego,1
analizowania,3
analizowanie,33
analizowaniem,1
analizowaniu,1
analizowanych,4
analizować,13
analizuje,15
analizy,186
analizą,7
analizę,54
analogiczna,1
analogiczne,2
analogicznego,7
analogiczny,2
analogicznych,3
analogicznym,1
analogiczną,1
analogowego,1
analogowej,1
analogowych,1
analysis,1
ananasy,1
anas,1
anastasis,1
anatomicznej,2
anatomiczno,1
and,8
andory,2
ane,4
aneks,3
aneksie,5
aneksom,1
aneksu,3
anemia,2
anestezjologii,3
angażowania,3
angażowanych,1
angażujących,2
angielski,4
angielskiego,2
angielskiej,6
angielskim,22
anglojęzycznych,1
anhydrytu,1
anhydryty,1
ani,429
ania,1
anidyny,2
anie,4
anilerydyna,1
animacji,1
animowanego,2
animowanych,2
anionu,6
aniżeli,6
ankiecie,10
ankiet,3
ankieta,4
ankietach,2
ankieterom,1
ankieterzy,1
ankieterów,8
ankiety,20
ankietą,4
ankietę,6
ano,1
anonimizacja,1
anonimizacji,5
anonimowe,1
anonimowo,1
anonimowości,4
anonimowy,1
anonimowych,3
anorak,16
anser,2
antarktyce,1
ante,1
anten,2
antenowego,10
antenowy,4
antenowych,1
antenowym,1
anteny,4
antenę,2
anthracis,1
anthrax,2
antidota,1
antresoli,2
antropogeniczny,1
antropogenicznych,2
antrykot,1
antrykotu,1
antybiotyki,1
antybiotykooporności,1
antybiotykoterapii,1
antybiotykw,1
antybiotyków,6
antydopingowe,4
antydopingowej,4
antydopingowych,7
antydopingowym,1
antydumpingowe,64
antydumpingowego,69
antydumpingowemu,1
antydumpingowych,24
antydumpingowym,25
antydumpingowymi,3
antygenów,3
antyki,2
antykomunistycznej,1
antykoncepcyjnymi,1
antykonkurencyjnym,1
antykorozyjne,7
antykorozyjnego,3
antykorozyjnych,1
antykorozyjnymi,3
antykorupcyjne,7
antykorupcyjnego,27
antykorupcyjnemu,5
antykorupcyjnym,6
antykwariaty,2
antymon,1
antymonopolowe,7
antymonopolowego,50
antymonopolowemu,4
antymonopolowy,51
antymonopolowych,1
antymonopolowym,13
antymonu,1
antysabotażowych,1
antyseptyków,1
antyterrorystyczne,1
antyterrorystycznych,3
antywłamaniowych,1
anu,1
anulowane,1
anulowania,3
anulować,1
anuluje,3
any,2
aparat,23
aparatami,1
aparatem,5
aparatowego,1
aparatu,4
aparatura,25
aparatury,95
aparaturze,5
aparaturą,3
aparaturę,26
aparaty,103
aparatów,21
apaszek,1
apelacja,33
apelacji,96
apelacją,2
apelację,32
apelacyjne,11
apelacyjnego,218
apelacyjnej,16
apelacyjnemu,4
apelacyjni,2
apelacyjny,34
apelacyjnych,30
apelacyjnym,17
apelacyjną,1
apele,2
apewnianie,1
aplikacja,26
aplikacji,110
aplikacją,5
aplikację,49
aplikanci,17
aplikant,47
aplikanta,97
aplikantami,6
aplikantem,14
aplikantom,3
aplikantow,1
aplikantowi,7
aplikantów,140
aport,3
aportem,1
aportu,5
aporty,1
apostille,3
apostolską,2
apreturowanie,1
aprobat,8
aprobaty,8
aprobatą,4
aptece,33
apteczne,5
aptecznego,12
aptecznej,1
apteczny,9
aptecznych,20
aptecznym,3
aptecznymi,2
aptek,42
apteka,38
aptekach,45
aptekami,6
aptekarska,2
aptekarskich,12
aptekarskiego,2
aptekarskiej,42
aptekarskim,3
aptekarską,4
aptekarz,7
aptekarza,12
aptekarzem,1
aptekarzy,3
apteki,134
aptekom,4
apteką,2
aptekę,35
ar,1
ara,1
arabskich,3
arabskiego,1
arabskiej,4
arbiter,11
arbitra,34
arbitralnych,2
arbitrażowe,2
arbitrażowi,1
arbitrażowy,1
arbitrażowym,1
arbitrażowymi,1
arbitrażową,1
arbitrażu,1
arbitrem,1
arbitrom,2
arbitrowi,4
arbitrzy,3
arbitrów,88
arbuzami,1
archeologiczne,1
archeologicznego,2
archeologicznych,10
archeologiczną,1
archidiecezji,1
architekt,10
architekta,16
architektoniczne,5
architektonicznego,1
architektonicznej,4
architektoniczno,44
architektonicznobudowlanej,10
architektonicznych,1
architektowi,1
architektura,5
architektury,72
architekturą,1
architektów,35
archiwa,9
archiwach,26
archiwalna,1
archiwalne,11
archiwalnego,5
archiwalnej,2
archiwalny,2
archiwalnych,47
archiwalnym,21
archiwalnymi,2
archiwalną,2
archiwami,2
archiwizacji,10
archiwizowane,2
archiwizowania,8
archiwizowanie,4
archiwizować,3
archiwizuje,5
archiwom,3
archiwum,31
archiwów,35
areca,1
arenie,3
areszcie,27
areszt,15
aresztach,32
aresztami,1
aresztem,3
aresztowana,3
aresztowane,1
aresztowanego,32
aresztowanej,9
aresztowanemu,5
aresztowani,4
aresztowania,129
aresztowanie,50
aresztowaniem,1
aresztowaniu,14
aresztowany,38
aresztowanych,13
aresztowanym,7
aresztowanymi,1
aresztowaną,1
aresztu,253
areszty,7
aresztów,27
argumenty,2
argyreia,1
arizone,1
arka,2
arktyce,1
arkusz,3
arkusza,4
arkuszach,11
arkusze,6
arkuszu,2
arkuszy,5
armator,88
armatora,144
armatorami,5
armatorem,7
armatorom,2
armatorowi,18
armatorską,1
armatorze,3
armatorzy,8
armatorów,13
armatur,1
armatura,2
armatury,1
armenii,3
armiach,3
armii,2
aromat,3
aromatu,1
aromatyczna,1
aromatyczne,5
aromatyczno,1
aromatycznych,13
aromatycznymi,5
aromatyzacja,1
aromatyzacji,7
aromatyzowane,11
aromatyzowanego,1
aromatyzowanych,9
aronii,1
arow,1
arr,2
arsen,1
arsenu,3
art,83804
arteritis,2
arthritis,2
artykule,33
artykuł,14
artykułach,11
artykułami,31
artykułem,2
artykułowi,1
artykułu,79
artykuły,114
artykułów,275
artysta,4
artystom,2
artysty,1
artystyczne,37
artystycznego,49
artystycznej,34
artystycznych,107
artystycznym,4
artystycznymi,3
artystyczną,17
artystów,7
artystę,3
artyści,4
artyście,4
arytmetyczna,5
arytmetycznej,1
arytmetycznych,1
arytmetyczną,5
asekuracji,1
asekuracyjne,1
asenizacyjne,1
asenizacyjnych,1
asenizacyjnymi,1
aseptycznych,1
asesor,14
asesora,58
asesorami,5
asesorem,9
asesorowi,12
asesorski,3
asesorskiego,1
asesorzy,15
asesorów,71
asesury,8
asfalt,1
asfaltowe,1
asfaltu,1
asfaltyty,1
asi,1
asistent,3
asortymencie,1
asortyment,1
asortymentowe,1
asortymentu,6
aspekcie,1
aspektach,1
aspekty,2
aspektów,7
aspirancki,1
aspirant,7
aspiranta,7
aspirantem,1
aspirantów,8
astm,1
astrologów,1
astronomiczne,1
asymilowanych,1
asyst,1
asysta,3
asystach,1
asystenci,3
asystent,6
asystenta,11
asystentkę,1
asystentowi,1
asystentów,15
asystowania,2
asystowanie,1
asystującego,1
asystujących,1
asysty,11
asyście,2
at,1
ata,1
ataku,3
atakuje,1
ataszatów,1
atc,1
atcvet,1
atenach,3
atest,5
atestacja,1
atestację,1
atestowania,2
atestowany,1
atestowanych,2
atestu,1
atesty,2
atestów,2
ateńskiej,8
ateńską,1
atlantyku,2
atlasów,1
atmosfe,1
atmosfery,3
atmosferyazotu,1
atmosferyc,1
atmosferyczn,1
atmosferyczne,2
atmosferycznego,6
atmosferycznych,12
atmosferycznym,1
atmosferycznymi,3
atmosferze,9
atmosferą,1
atomistyki,26
atomowe,11
atomowego,7
atomowej,9
atomowych,2
atp,5
atrakcyjnego,1
atrakcyjnością,1
atramentowej,1
ats,1
attaches,1
attaché,4
atu,1
au,1
audialne,1
audialnej,2
audialnych,1
audiodeskrypcji,2
audioteksowa,1
audioteksowe,2
audioteksowej,4
audioteksowych,3
audioteksową,1
audiotekstowych,1
audiowizualna,2
audiowizualne,5
audiowizualnego,71
audiowizualnej,75
audiowizualny,10
audiowizualnych,14
audiowizualnym,1
audiowizualnymi,1
audiowizualną,19
auditorów,3
audycjach,4
audycjami,1
audycje,21
audycji,120
audycją,3
audycję,3
audyt,20
audytem,5
audytor,7
audytora,9
audytorem,4
audytorowi,1
audytorskich,2
audytorskie,1
audytorskiej,2
audytorską,4
audytorów,4
audytowej,1
audytowi,1
audytu,85
audytów,8
augsburskiego,6
aujeszky,3
aujeszkyego,1
aukcja,5
aukcjach,1
aukcji,22
aukcję,2
aukcyjne,2
aukcyjnej,3
aukcyjnych,1
aukcyjną,1
aureus,1
auschwitz,3
australijski,1
australią,2
austria,1
austriacka,1
austriackich,1
austrii,15
autentycznego,3
autentyczności,17
autentyczność,2
autentyczny,3
auto,1
autobus,7
autobusami,2
autobusem,7
autobusie,1
autobusowego,10
autobusowej,9
autobusowych,4
autobusowymi,1
autobusową,1
autobusu,10
autobusy,7
autobusów,6
autodiagnozy,2
autokary,4
autokefalicznego,7
autoklawy,8
autologiczne,1
autologicznego,3
automa,1
automacie,37
automatach,102
automatu,3
automaty,2
automatyce,1
automatyczna,5
automatyczne,15
automatycznego,7
automatycznej,22
automatycznemu,1
automatycznie,10
automatyczny,2
automatycznych,1
automatycznym,3
automatyczną,9
automatyki,2
automatyzacji,1
automatyzację,2
automatów,9
autonomiczne,3
autonomicznej,2
autonomicznych,2
autonomiczną,1
autor,1
autora,13
autorem,1
autorski,1
autorskich,31
autorskie,14
autorskiego,8
autorskiej,3
autorskim,24
autorskimi,12
autorską,2
autorstwa,4
autorstwo,3
autorytecie,1
autorytet,8
autorytetem,1
autorytetu,5
autoryzacja,1
autoryzacji,10
autoryzowane,1
autoryzowanego,5
autoryzowanej,1
autoryzowany,2
autoryzowanych,3
autoryzowanym,1
autoryzowanymi,1
autorów,10
autostrad,98
autostrada,1
autostradach,58
autostradami,10
autostradowego,3
autostradowy,2
autostradowym,1
autostrady,102
autostradzie,2
autostradą,13
avian,7
avocat,2
aw,3
awans,19
awansowa,6
awansowania,22
awansowanie,1
awansowaniu,3
awansował,1
awansowej,17
awansową,6
awansu,40
awaria,3
awariach,4
awariami,2
awarie,3
awarii,180
awariom,25
awarią,15
awarię,6
awaryjne,2
awaryjnego,11
awaryjnych,4
awaryjnym,1
awokado,1
azabicyklo,1
azbest,27
azbestem,2
azbestolit,1
azbestowo,11
azbestowych,6
azbestu,7
azbeście,2
azerbejdżańskiej,3
azjatyckich,2
azjatyckiej,2
azo,9
azot,218
azota,1
azotan,42
azotanami,3
azotanem,1
azotano,2
azotanow,11
azotanowego,19
azotanowy,24
azotanu,31
azotany,4
azotanów,2
azotem,1
azotowe,3
azotowego,2
azotowegoamonu,1
azotowo,9
azotowy,6
azotowych,5
azotowym,1
azotu,184
azydki,1
azyl,5
azylu,24
aż,93
ażeby,3
aдвокат,1
b,6849
ba,5
babassu,2
babin,1
babka,1
babki,1
bacewiczów,1
bacillus,1
bacząc,3
bada,50
badacz,1
badacza,1
badaczem,1
badaczom,2
badają,1
badając,8
badającego,2
badającemu,2
badających,2
badana,3
badane,6
badanego,16
badanej,22
badania,833
badaniach,68
badaniami,39
badanie,246
badaniem,29
badaniom,107
badaniu,147
badany,5
badanych,9
badanym,9
badawcza,4
badawcze,38
badawczego,39
badawczej,57
badawczemu,2
badawczo,257
badawczorozwo,1
badawczorozwojowa,1
badawczorozwojowe,1
badawczorozwojowej,8
badawczorozwojowych,10
badawczorozwojowymi,1
badawczorozwojową,1
badawczy,21
badawczych,146
badawczym,14
badawczymi,2
badawczą,67
badać,16
badał,2
badań,1497
bagaż,12
bagażowa,1
bagażowego,2
bagażowych,2
bagażu,37
bagaży,8
bagien,2
bagienny,1
bagiennych,1
bagna,1
bagno,1
bagrowo,1
bajazzo,1
bakteriach,1
bakterie,1
bakterii,2
bakteriologiczne,1
bakteryjna,3
bakteryjnych,1
bakłażany,1
bakłażanów,1
balastowe,3
balastowego,3
balastowy,2
balastowych,2
baletowych,1
balice,1
balkonów,3
balony,4
balotów,1
balustrad,3
balwierskiego,2
bambusa,1
bambusowymi,1
bananów,4
bandaże,1
bandażownictwa,1
bander,1
bandera,1
banderol,5
banderole,1
banderoli,11
banderolowania,1
bandery,26
banderze,2
banderą,10
banderę,11
bangkoku,2
banisteriopsis,1
banjo,1
bank,772
bankach,106
bankami,28
banki,306
bankiem,118
banknotami,1
banknoty,6
banknotów,10
bankom,90
bankowa,11
bankowania,19
bankowe,196
bankowego,334
bankowej,67
bankowemu,7
bankowi,94
bankowo,3
bankowości,3
bankowością,1
bankowy,120
bankowych,262
bankowym,93
bankowymi,4
bankową,25
banku,1102
banków,415
baptystycznych,1
baptystów,7
bara,2
barach,6
baraki,4
barakowóz,1
baranich,1
bardziej,16
bardzo,46
barek,4
baretek,1
baretkami,1
baretki,1
baretką,1
barier,10
barierami,1
bariery,2
barkach,1
barkę,1
barlinek,1
barratta,1
barrgo,1
barrégo,1
barterowej,1
bartoszycki,2
baru,2
barw,2
barwach,39
barwami,1
barwie,1
barwienia,9
barwienie,10
barwione,38
barwionymi,2
barwnego,1
barwnik,1
barwniki,2
barwników,19
barwnych,1
barwy,12
barwę,2
bary,4
barytu,6
baryty,1
baryłki,1
basenach,1
basenu,2
basenów,4
baszni,1
basznia,1
basztami,1
bat,28
batalionach,11
batalionu,7
batalionów,1
bateriach,5
baterie,16
baterii,12
bator,2
batymetrię,1
bawełna,2
bawełniana,47
bawełniane,83
bawełny,197
bawełną,44
bawoły,1
bay,2
baz,71
baza,5
bazach,18
bazaltu,5
bazalty,1
bazami,4
bazie,51
bazom,2
bazowa,9
bazowe,12
bazowego,27
bazowej,78
bazowy,50
bazowych,6
bazowym,5
bazową,13
bazy,117
bazą,3
bazę,33
bałtycki,1
bałtyckiego,9
bałtyckiej,3
bałtyckim,4
bażanta,2
bażanówka,1
beczek,1
beczki,2
beczkowe,2
beczkowozami,1
bednarskich,1
bednarskiej,1
bednarstwo,2
bees,1
bef,1
behawioralne,2
bel,1
bele,1
belgia,1
belgii,10
belgijskich,1
belgradzie,2
beli,1
beliny,3
belowania,2
bema,1
beneficjenci,1
beneficjencie,1
beneficjent,3
beneficjenta,34
beneficjentem,3
beneficjentowi,1
beneficjentów,3
bentonitowe,1
benzazocyn,1
benzen,2
benzetydyna,1
benzimidazol,1
benzimidazolinylo,1
benzoiloekgoniny,1
benzoiloksy,1
benzol,1
benzomorfan,2
benzyloksy,2
benzyloksyetylo,1
benzylomorfina,2
benzyn,6
benzynowe,1
benzynowych,2
benzyny,20
benzyną,2
berberysu,1
beretów,2
berlinie,6
beryl,1
berylu,1
beschrankter,1
beta,8
betaagonistycznym,3
betacetylometadol,1
betameprodyna,1
betametadol,1
betania,3
betaprodyna,1
betel,15
betezda,5
betlejem,4
beton,1
betonowe,10
betonowej,1
betonowych,6
betonu,2
bez,2394
bezadresowych,1
bezalkoholowych,13
bezalkoholowymi,1
bezazbestowych,1
bezbronności,3
bezbłędnie,3
bezbłędność,2
bezcelowe,2
bezciśnieniowych,1
bezciśnieniowymi,1
bezczynności,6
bezczynność,12
bezdetonacyjnej,1
bezdomnego,2
bezdomnej,5
bezdomności,1
bezdomność,2
bezdomnych,16
bezdomnym,8
bezdomnymi,5
bezdymnych,1
bezegzekucyjnym,1
bezgotówkowe,1
bezgotówkowej,8
bezgotówkowo,2
bezgotówkowych,3
bezgotówkowym,1
bezkolizyjne,2
bezledach,2
bezmleczność,1
bezodpadowych,1
bezodpływowe,1
bezodpływowy,1
bezodpływowych,14
bezosobowe,2
bezosobowych,12
bezow,2
bezowdne,2
bezołowiowej,1
bezpie,2
bezpieczeństwa,1649
bezpieczeństwem,97
bezpieczeństwie,116
bezpieczeństwo,192
bezpieczeństwu,86
bezpieczne,33
bezpiecznego,73
bezpiecznej,16
bezpiecznie,2
bezpiecznikowe,1
bezpiecznikowy,1
bezpieczny,16
bezpiecznych,13
bezpiecznym,23
bezpieczną,7
bezpo,1
bezpodstawna,1
bezpodstawne,1
bezpodstawnego,5
bezpodstawnie,28
bezpodstawności,1
bezpodstawny,6
bezpodstawnym,1
bezpodstawną,2
bezpowrotnej,5
bezpowrotnie,1
bezpośredni,111
bezpośrednia,11
bezpośrednich,153
bezpośrednie,101
bezpośredniego,329
bezpośredniej,83
bezpośredniemu,8
bezpośrednim,71
bezpośrednimi,3
bezpośrednio,796
bezpośrednią,34
bezprawne,5
bezprawnego,25
bezprawnej,10
bezprawnie,27
bezprawności,3
bezprawność,2
bezprawny,11
bezprawnych,1
bezprawnym,11
bezprawną,16
bezprzedmiotowa,1
bezprzedmiotowe,11
